Column1;Column2;;;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
row_id;incident_date;;;team_country;player_age;player_team_name;incident_description;heart_related;cardiac_related;collapsed;lightning;collision
1;1889;1;13;England;26.0;Staveley;Ruptured bowel in a match against Grimsby Town led to death the next day.;0;0;0;0;0
2;1892;1;11;Scotland;21.0;St Mirren;Tetanus from fall on piece of glass in a friendly game against Abercorn led to death ten days later.;0;0;0;0;0
3;1893;11;12;England;26.0;Shrewsbury Town;Internal haemorrhage following a bad tackle in a bad tempered match. A verdict of accidental death was returned.;0;0;0;0;0
4;1893;11;23;England;24.0;Chesterfield Town;"Rupture of the kidney from a tackle in game against Derby Junction; he died almost three weeks later.";0;0;0;0;0
5;1896;3;28;England;27.0;Bedminster;Suffered severe concussion following a clash of heads in the Gloucestershire Cup semi-final against Eastville Rovers. He continued playing initially, but was eventually forced to leave the game and died from his injury the next morning.;0;0;0;0;0
6;1896;5;25;England;25.0;Loughborough F.C.;Pneumonia while playing.;0;0;0;0;0
7;1896;11;29;England;25.0;Woolwich Arsenal;Blood poisoning and tetanus after breaking his arm in game against Kettering Town in .;0;0;0;0;0
8;01-01-1900;1;1900;England;;Sheppey United;Tetanus caused by on-field injury.;0;0;0;0;0
9;27-01-1900;8;1902;England;35.0;Manchester City;Gashed knee turned septic leading to death.;0;0;0;0;0
10;27-01-1900;10;1906;England;23.0;Leeds City;Heart attack while playing against Burnley, probably from heavy smoking. He attempted to return to the field of play even when in great pain.;1;0;0;0;0
11;08-01-1900;4;1907;England;25.0;Manchester United;Collapsed after heading a ball in a game against St. Helens and died.;0;0;1;0;0
12;01-01-1900;1;1908;England;26.0;Sheffield United;Pneumonia during recovery from collar bone broken playing against Newcastle United on  January . Attending Dr Selby of Attercliffe (Sheffield) noted heart failure at :pm on  February  at his father's house on  Plumpers Road Tinsley Sheffield;1;0;0;0;0
13;29-01-1900;12;1909;Scotland;23.0;Hibernian;Fatal stomach injuries during a Christmas Day match in  against Partick Thistle at Firhill on a frostbound pitch, after colliding with a Thistle player, led to death four days later.;0;0;0;0;1
14;19-01-1900;2;1916;England;33.0;Arsenal;Burst blood vessel following a wartime game against Reading.;0;0;0;0;0
15;07-01-1900;1;1921;England;27.0;Blackpool;"Head injury in a league game at Barnsley in December ; died as a result of his injury early in the new year.";0;0;0;0;0
16;22-01-1900;5;1921;Kingdom of Yugoslavia;;Hajduk Split;Late stage tuberculosis after a game against Građanski Zagreb, Hajduk's greatest rival at the time.;0;0;0;0;0
17;14-01-1900;11;1921;Scotland;24.0;Dumbarton;Goalkeeper who died from peritonitis two days after a game against Rangers.;0;0;0;0;0
18;11-01-1900;11;1923;England;;Port Vale;Died from tetanus eight days after fracturing his arm in a match.;0;0;0;0;0
19;13-01-1900;3;1927;France;26.0;Stade Olympique de l'Est;During a season-ending match of the Ligue Île-de-France [fr], the goalkeeper Georges Le Bidois received a violent kick at his carotid from Swiss Aron Pollitz of US Suisse Paris, from which he succumbed in the locker room. Upon the announcement of his death, the game was called off.;0;0;0;0;0
20;04-01-1900;4;1927;Belgium;27.0;Cercle Brugge;Perforated bowel after a collision with an opponent. Died one day later.;0;0;0;0;1
21;30-01-1900;4;1927;England;30.0;Bury;Collapsed and died on the field of pneumonia during a match against Sheffield United, although Bury claim it was a cerebral haemorrhage.;0;0;1;0;0
22;03-01-1900;5;1927;Chile;24.0;Colo-Colo;Peritonitis after being hit by an opposing player during the match. Shortly after the incident Arellano was brought to a nearby clinic where he ultimately died.;0;0;0;0;0
23;05-01-1900;9;1931;Scotland;22.0;Celtic;Injured during an Old Firm match when he dived for the ball and suffered a fractured skull in an accidental collision with Rangers' Sam English. He died that same evening.;0;0;0;0;1
24;17-01-1900;6;1933;Iceland;22.0;Valur;A goalkeeper who collided with a striker from KR Reykjavik and suffered a head injury in the last game of the Icelandic League on  June . Was taken to hospital, where he died from his injuries on  June .;0;0;0;0;1
25;01-01-1900;12;1934;England;25.0;Gillingham;Died after a clash of heads with Brighton & Hove Albion's Paul Mooney in a game, who subsequently retired.;0;0;0;0;0
26;03-01-1900;12;1934;Czechoslovakia;;Union Žižkov;Fell and got a concussion in a game against Viktoria Žižkov. Died on the way to hospital.;0;0;0;0;0
27;10-01-1900;2;1935;Republic of Ireland;28.0;Distillery F.C.;Died after a clash of heads after a corner in the – FAI Cup quarter-final. Finished the game and went home. Became delirious the same night and was rushed to hospital due to cerebral haemorrhage.;0;0;0;0;0
28;05-01-1900;2;1936;England;22.0;Sunderland;When playing as goalkeeper, Thorpe, a diabetic, collapsed into a coma from which he never recovered, attributed to the rough treatment he received on the pitch in a game against Chelsea. His death led to the rule that players were no longer able to kick the ball out of the goalkeeper's arms.;0;0;1;0;0
29;12-01-1900;11;1936;Peru;;Atlético Chalaco;Playing in a friendly match for Atlético Chalaco, Chávez Boza had his femoral artery injured by Víctor Guarderas Lavalle from Alianza Lima. His limb was amputated which later led to his death since having diabetes.;0;0;0;0;0
30;14-01-1900;5;1939;Norway;17.0;Hof IL;Collapsed with a heart attack during the away game against Ramnes IL. He died within minutes after he was carried off the pitch.;1;0;1;0;0
31;15-01-1900;5;1941;Netherlands;32.0;Thor;After retirement at the age of  due to heart problems in , Adam was playing for Thor against Anasher in Surabaya in the Dutch East Indies on  May . He suffered a heart attack which led to his death.;1;0;0;0;0
32;22-01-1900;3;1946;Peru;;Alianza Lima;Collapsed during a friendly match against a saltpeter workers team in Antofagasta, Chile. He died from a possible cardiac arrest.;0;1;1;0;0
33;20-01-1900;2;1949;West Germany;;TSV Braunschweig;Internal bleeding a few days after a collision with an opposing player in a match between his club TSV Braunschweig (a temporary name for Eintracht Braunschweig) and SV Werder Bremen on  February .;0;0;0;0;1
34;01-01-1900;4;1951;Brazil;35.0;Ceará;Collapsed during a match. Death attributed to stomach congestion.;0;0;1;0;0
35;04-01-1900;4;1953;Wales;23.0;Wrexham;Collapsed during a match. Death attributed to a cardiac arrest.;0;1;1;0;0
36;14-01-1900;7;1963;Romania;26.0;Petrolul Ploieşti;Collapsed during a match. Death attributed to unusual activity of the thymus gland.;0;0;1;0;0
37;01-01-1900;11;1966;Socialist Federal Republic of Yugoslavia;29.0;NK Rijeka;Collapsed during a training session due to a heart ailment and died on the way to the hospital.;1;0;1;0;0
38;25-01-1900;2;1967;England;;Highgate United;Struck by lightning during an FA Amateur Cup quarterfinal against Enfield, died following day.;0;0;0;1;0
39;07-01-1900;1;1973;Spain;27.0;Sevilla F.C.;Heart attack during a Segunda División match against Pontevedra. He had collapsed in previous matches against Alicante, Sabadell, and Barakaldo. He had received treatment for his condition, but collapsed for the last time at the Estadio Municipal de Pasarón, without ever regaining consciousness.;1;0;1;0;0
40;16-01-1900;12;1973;Portugal;26.0;F.C. Porto;Heart attack during a league game.;1;0;0;0;0
41;14-01-1900;12;1975;Peru;;Deportivo Junín;Collapsed on the field after a run with the ball, playing against Atlético Chalaco at the Estadio Nacional del Perú, he previously had heart complications since playing for Colegio Nacional Iquitos. A stadium in Moyobamba was named after him.;1;0;1;0;0
42;18-01-1900;5;1977;England;21.0;Scarborough;Head injuries received during match.;0;0;0;0;0
43;27-01-1900;8;1977;Belgium;27.0;Namur;Died as a result of an attack in a Belgian Cup away match against Anderlecht at Parc Astrid. Stade Michel-Soulier [fr] in Namur was named in his honor.;0;0;0;0;0
44;30-01-1900;10;1977;Italy;24.0;Perugia;Heart attack while playing in a Serie A match against Juventus. Perugia's ground is named after him.;1;0;0;0;0
45;21-01-1900;4;1980;France;24.0;Bordeaux;Died from a heart attack during a club training.;1;0;0;0;0
46;05-01-1900;11;1981;Algeria;26.0;CR Belouizdad;Died during the Ligue  match against USM Aïn Beïda in Stade  Août  (Algiers), from severe food poisoning.;0;0;0;0;0
47;07-01-1900;3;1982;Brazil;28.0;Sport;Died from infarction after fainting in the match against XV de Jaú.;0;0;0;0;0
48;23-01-1900;9;1984;Netherlands;21.0;DWS;"Struck by lightning during an exhibition game.
Son of Jan Jongbloed, goalkeeper of the Dutch national team in both the  and  FIFA World Cup Final.";0;0;0;1;0
